"date_id","date","month","year"
"1","2025-01-05","1","2025"
"2","2025-01-10","1","2025"
"3","2025-01-15","1","2025"
"4","2025-02-01","2","2025"
"5","2025-02-14","2","2025"
"6","2025-02-20","2","2025"
"7","2025-03-03","3","2025"
"8","2025-03-18","3","2025"
"9","2025-03-25","3","2025"
"10","2025-01-08","1","2025"
"11","2025-01-20","1","2025"
"12","2025-02-05","2","2025"
"13","2025-02-18","2","2025"
"14","2025-02-25","2","2025"
"15","2025-03-01","3","2025"
"16","2025-03-10","3","2025"
"17","2025-03-15","3","2025"
"18","2025-03-20","3","2025"
"19","2025-04-01","4","2025"
"20","2025-04-05","4","2025"
"21","2025-04-10","4","2025"
"22","2025-04-14","4","2025"
"23","2025-04-18","4","2025"
"24","2025-04-22","4","2025"
"25","2025-04-25","4","2025"
"26","2025-05-01","5","2025"
"27","2025-05-05","5","2025"
"28","2025-05-10","5","2025"
"29","2025-05-15","5","2025"
"30","2025-05-20","5","2025"
"31","2025-06-01","6","2025"
"32","2025-06-05","6","2025"
"33","2025-06-10","6","2025"
"34","2025-06-15","6","2025"
"35","2025-06-20","6","2025"
"36","2025-07-01","7","2025"
"37","2025-07-05","7","2025"
"38","2025-07-10","7","2025"
"39","2025-07-15","7","2025"
"40","2025-07-20","7","2025"
